location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Uruguay,-0.013652814,0.064844272,-0.023731545,0.013622037,0.165243662,0.232640404,0.274033914,0.013669077,-0.050014255,0.107417311,-0.124961314,-0.017329252
United States,0.985832353,-0.374180119,0.203826083,0.013622037,0.246814659,0.261901165,0.239025288,0.303277525,0.122538271,0.223590432,-0.05819995,0.982456799
Uzbekistan,-0.012291671,0.072974353,-0.002891558,0.013622037,-0.058321293,-0.16056554,-0.142730153,-0.109301327,-0.021404509,-0.181876538,-0.056779495,-0.017424341
Vatican,-0.014161175,-0.000196379,-0.026144428,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,-0.027306565,-0.052872324,-0.104107394,-0.002413825
Saint Vincent and the Grenadines,-0.01415758,0.048584109,-0.026067907,0.013622037,0.050440037,-0.034914122,-0.033696925,-0.070823007,0.159641534,-0.052872324,-0.104107394,-0.002413825
Venezuela,-0.013853426,0.064844272,-0.006388518,0.013622037,-0.034152108,-0.077762993,-0.08473494,-0.019067177,-0.070577509,-0.052872324,-0.104107394,-0.017436227
British Virgin Islands,-0.014164771,0.162405247,-0.026123982,0.013622037,-0.094575069,-0.038432365,-0.032611468,-0.019430832,0.251282124,-0.052872324,-0.104107394,-0.017543201
United States Virgin Islands,-0.01412019,0.138015003,-0.02607244,0.013622037,0.364639433,0.38496621,0.298411941,-0.019430832,0.18825128,-0.052872324,-0.104107394,-0.017483771
Vietnam,-0.01396272,-0.349789875,0.041483045,0.013622037,0.074609221,-0.057072006,-0.040041891,-0.109999847,-0.091587791,-0.188710251,0.244356868,-0.002413825
Yemen,-0.014119471,0.276226385,-0.005422769,0.013622037,-0.296991987,-0.220283742,-0.21452845,-0.15035902,-0.120644563,-0.038368566,0.007140959,-0.017412454
South Africa,-0.005488114,-0.00832646,0.015060974,0.013622037,-0.085511625,-0.126788277,-0.132711786,-0.057339983,-0.113045099,-0.026979044,0.063959141,-0.014952035
Zambia,-0.013849112,0.097364597,-0.013372348,0.013622037,-0.375541836,-0.237346085,-0.216810411,-0.131351356,-0.183675408,-0.14087426,-0.056779495,-0.017471885
Zimbabwe,-0.014143199,0.113624759,-0.015818658,0.013622037,-0.318140024,-0.224144,-0.197886829,-0.146741473,-0.278445189,-0.175042825,0.028447777,-0.017507543
